DateTime,AddedIPs,RemovedIPs
1632024725,20,15
1632026663,21,25
1632028565,31,26
1632030728,33,34
1632032649,29,40
1632034592,26,22
1632036485,36,29
1632038431,32,41
1632040331,33,43
1632042270,28,32
1632044170,32,38
1632046332,35,37
1632048263,15,68
1632050168,16,0
1632052329,21,74
1632056179,19,57
1632058086,18,0
1632060257,24,31
1632062179,21,34
1632064104,25,78
1632066009,28,0
1632068171,22,0
1632070100,32,25
1632072007,12,0
1632073926,29,22
1632075860,19,20
1632077767,22,11
1632079931,21,13
1632081868,17,16
1632083766,22,12
1632085930,20,33
1632087859,29,26
1632089781,16,15
1632091686,16,17
1632093616,14,20
1632095544,20,20
1632097446,25,20
1632099364,14,20
1632101300,16,35
1632103219,27,26
1632105125,28,26
1632107068,8,16
1632108968,19,28
1632111129,24,54
1632113048,13,0
1632116885,24,58
1632118806,35,26
1632120743,33,27
1632124567,32,60
1632126504,26,39
1632128413,30,37
1632130326,36,29
1632132270,29,36
1632134171,24,32
1632136343,35,18
1632138250,36,15
1632140186,37,23
1632151702,33,141
1632153618,31,28
1632157454,24,64
1632159382,33,17
1632161545,35,28
1632163449,26,16
1632165386,31,19
1632167286,22,12
1632169221,34,26
1632173061,22,43
1632174964,22,29
1632176886,36,15
1632178833,28,16
1632180725,19,16
1632182654,16,25
1632184584,23,29
1632186748,22,21
1632188647,20,27
1632190822,14,34
1632192730,21,25
1632194647,27,38
1632196580,25,35
1632198488,11,33
1632200420,26,26
1632202326,41,0
1632204270,36,23
1632206167,36,36
1632208328,38,35
1632210246,33,0
1632214085,33,55
1632216006,32,27
1632217945,37,29
1632219848,31,28
1632221779,27,30
1632223686,29,34
1632225619,24,31
1632227541,27,32
1632229452,18,0
1632231607,31,0
1632233768,29,0
1632235930,27,0
1632237851,25,0
1632239778,29,37
1632241688,35,28
1632243857,32,23
1632245783,28,30
1632247697,24,0
1632249623,24,30
1632251530,28,27
1632255374,38,51
1632257301,29,33
1632259210,20,0
1632261126,29,19
1632263062,22,24
1632264965,27,26
1632267131,19,44
1632269073,20,16
1632270969,22,0
1632274805,19,31
1632276727,29,17
1632278660,23,25
1632280568,19,11
1632282730,22,22
1632284665,24,32
1632286568,25,15
1632288726,22,35
1632290655,26,29
1632292590,27,59
1632294743,39,39
1632296646,33,0
1632298593,15,42
1632300484,37,0
1632302405,25,39
1632304340,40,25
1632306250,19,62
1632308180,31,25
1632310085,37,0
1632312017,26,25
1632313944,28,52
1632315852,19,0
1632317769,31,22
1632319701,28,30
1632321605,35,32
1632323523,26,24
1632325461,27,32
1632327369,35,24
1632329528,28,31
1632331447,26,24
1632333381,26,32
1632335286,27,22
1632337216,29,30
1632341052,29,29
1632342984,18,32
1632344884,27,27
1632347046,18,19
1632348967,31,28
1632350902,24,18
1632352847,21,33
1632354742,21,13
1632356648,16,26
1632358566,18,23
1632360502,24,0
1632362418,25,23
1632364323,20,22
1632366270,14,29
1632368166,30,21
1632370338,28,24
1632372262,26,31
1632374172,26,30
1632376327,29,27
1632378246,36,30
1632380180,39,30
1632382331,38,40
1632384253,43,29
1632388085,30,52
1632392407,33,62
1632394325,45,21
1632396265,42,29
1632398166,31,29
1632400331,36,23
1632402496,38,54
1632404422,36,27
1632406329,32,28
1632408244,20,31
1632410181,38,29
1632412085,24,30
1632414007,30,37
1632415945,33,30
1632417846,32,0
1632419767,33,27
1632421702,24,48
1632423610,27,0
1632425524,24,32
1632427471,26,33
1632429368,17,0
1632431528,20,38
1632433446,22,0
1632435383,20,43
1632437304,23,19
1632439206,24,0
1632441128,17,25
1632443048,22,13
1632444999,24,46
1632446909,20,31
1632450735,21,45
1632452674,8,17
1632454568,26,25
1632456730,28,0
1632458646,15,31
1632460583,26,48
1632462484,20,0
1632464431,25,28
1632466329,23,37
1632468251,25,40
1632470165,24,35
1632472102,24,34
1632474022,27,0
1632475925,28,29
1632477875,29,0
1632479769,31,34
1632481928,21,36
1632483848,18,38
1632485798,21,30
1632487932,20,37
1632489865,21,33
1632491765,29,37
1632493686,31,28
1632495633,30,27
1632497531,35,34
1632499474,34,26
1632503526,35,61
1632505465,25,29
1632507368,29,31
1632509322,25,20
1632511210,30,24
1632513126,29,16
1632515067,33,35
1632516966,34,20
1632519129,30,19
1632522971,21,53
1632525130,30,17
1632527064,29,35
1632528970,24,22
1632531129,34,19
1632533050,21,20
1632534984,17,30
1632547445,30,139
1632549621,22,22
1632551545,29,28
1632553458,20,24
1632555387,32,24
1632557288,23,24
1632559208,23,29
1632561148,27,23
1632563046,21,26
1632565208,22,28
1632567123,17,31
1632569065,19,26
1632570968,30,19
1632572904,21,22
1632574819,34,27
1632576724,23,24
1632578674,29,27
1632580572,29,30
1632582505,23,32
1632584406,25,35
1632586325,26,35
1632588266,19,0
1632590172,21,34
1632592330,37,25
1632594251,28,32
1632596184,35,36
1632598085,29,29
1632600013,37,24
1632601943,38,32
1632603857,17,29
1632605788,38,29
1632607698,22,0
1632609623,26,29
1632611532,25,38
1632613464,23,0
1632615368,28,33
1632617529,26,27
1632619451,20,47
1632621384,32,0
1632623286,26,28
1632625214,38,0
1632627144,30,0
1632629052,22,0
1632630967,34,0
1632632905,21,0
1632634808,26,26
1632636726,28,19
1632638663,22,28
1632640567,24,23
1632642725,27,28
1632644648,23,19
1632646586,23,21
1632648488,32,26
1632650659,29,20
1632652584,22,17
1632654498,24,16
1632656424,31,22
1632658356,25,25
1632660266,34,28
1632662169,29,32
1632664326,28,12
1632666264,25,40
1632668109,33,28
1632670153,34,28
1632672196,33,26
1632674437,26,24
1632676330,22,18
1632678244,28,24
1632680189,31,37
1632682324,29,25
1632684262,31,25
1632686164,29,32
1632688085,28,30
1632691944,25,49
1632697745,18,82
1632699847,21,28
1632702005,17,46
1632703924,25,0
1632705866,19,39
1632707764,18,0
1632709990,26,54
1632711872,20,39
1632713769,16,19
1632715931,16,26
1632717867,20,21
1632719767,27,33
1632721926,36,22
1632726266,32,58
1632728189,45,20
1632730099,37,24
1632732028,37,27
1632733930,35,31
1632735845,38,28
1632739946,40,48
1632741845,37,31
1632743795,26,35
1632745684,35,24
1632747853,30,28
1632749784,26,33
1632751704,29,37
1632753610,32,22
1632757445,25,80
1632759606,36,24
1632761546,32,31
1632763448,37,30
1632765621,33,29
1632767545,21,29
1632769451,37,35
1632771387,30,32
1632773216,17,35
1632775465,20,31
1632777367,14,0
1632779543,20,27
1632781447,13,0
1632783381,21,0
1632785286,18,13
1632787230,17,23
1632789261,17,14
1632791550,29,18
1632793449,19,20
1632795366,23,19
1632797302,18,19
1632801126,26,32
1632803046,17,21
1632804964,27,26
1632810985,33,63
1632813145,37,33
1632815045,38,39
1632816851,20,32
1632818901,24,38
1632820807,36,38
1632822966,37,41
1632825127,30,0
1632827056,20,34
1632828987,25,35
1632830896,25,28
1632832823,32,38
1632834728,20,26
1632836649,27,33
1632838593,32,33
1632842414,25,32
1632844352,22,22
1632846246,29,36
1632848164,28,31
1632850107,18,40
1632852013,33,0
1632853928,23,26
1632855953,33,51
1632857771,42,0
1632859939,28,48
1632861845,23,0
1632863784,26,32
1632865686,30,0
1632867604,29,18
1632869543,25,14
1632875524,20,56
1632877416,19,19
1632879367,22,32
1632881529,25,24
1632883444,21,15
1632885388,23,22
1632887289,29,0
1632891128,31,40
1632893047,36,35
1632894993,33,0
1632896887,40,0
1632898812,36,31
1632900724,29,31
1632902657,31,41
1632904587,37,21
1632906493,36,21
1632908404,35,34
1632910342,35,42
1632912245,34,17
1632914170,38,21
1632916343,27,19
1632918247,41,24
1632920182,25,28
1632922324,33,18
1632924252,21,25
1632926187,25,31
1632928083,24,0
1632930268,38,25
1632932171,32,25
1632934346,26,27
1632936314,33,29
1632938181,32,16
1632940086,26,31
1632942037,25,25
1632943926,24,33
1632945854,20,30
1632947786,32,30
1632949947,26,24
1632951858,20,26
1632954028,17,62
1632955928,23,0
1632957855,18,24
1632959784,15,0
1632961687,20,0
1632963639,15,16
1632965525,14,17
1632967470,13,22
1632969368,20,18
1632971534,22,23
1632973465,19,20
1632975626,22,28
1632977526,15,0
1632979464,45,67
1632981365,26,0
1632983287,29,30
1632985237,35,70
1632987127,41,34
1632989016,40,0
1632990974,35,31
1632993126,33,65
1632996983,32,69
1633000804,32,69
1633004646,29,29
1633006565,33,35
1633008503,30,28
1633010417,27,27
1633012343,19,30
1633014249,23,24
1633016188,31,31
1633018084,24,35
1633020244,34,34
1633022168,25,25
1633024105,29,28
1633026004,28,26
1633027923,32,36
1633032039,30,46
1633033925,27,27
1633036085,27,30
1633038245,24,30
1633040186,29,23
1633042086,18,20
1633044009,23,25
1633045946,29,18
1633047850,26,18
1633049784,15,13
1633051689,17,21
1633053848,26,15
1633056006,28,41
1633057926,26,0
1633059864,16,19
1633062024,17,20
1633064167,19,39
1633066095,31,44
1633068248,39,31
1633070168,32,32
1633072084,37,36
1633074003,31,41
1633075943,38,42
1633077845,36,34
1633079784,31,34
1633081687,41,0
1633083605,39,33
